2022-02-26 13:53:51.4645, Unable to read banned.txt
2022-02-26 13:53:51.4645, Adding Test Frequency: 247200000
2022-02-26 13:53:51.4645, Adding Test Frequency: 120300000
2022-02-26 13:53:51.4645, Adding Global Frequency: 248220000
2022-02-26 13:53:51.5556, DCS-SRS Server Running - 1.9.9.0
2022-02-26 13:53:51.9856, EVENT, TRANSMISSION LOGGING ENABLED
2022-02-26 13:53:52.8655, Running latest stable version: 1.9.9.0
2022-02-26 18:45:19.5183, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:45:18 PM, 2022-02-26 6:45:18 PM, 108.63.217.4:54805
2022-02-26 18:45:24.5655, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:45:20 PM, 2022-02-26 6:45:24 PM, 75.33.150.12:53866
2022-02-26 18:47:33.6545, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:47:28 PM, 2022-02-26 6:47:33 PM, 75.33.150.12:53866
2022-02-26 18:47:35.1795, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:47:34 PM, 2022-02-26 6:47:34 PM, 108.63.217.4:54805
2022-02-26 18:50:21.1680, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:50:14 PM, 2022-02-26 6:50:20 PM, 108.63.217.4:54805
2022-02-26 18:50:23.6995, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:50:20 PM, 2022-02-26 6:50:23 PM, 134.41.0.42:61761
2022-02-26 18:50:56.7903, Disconnecting Client
2022-02-26 18:50:56.7903, Removed Disconnected Client 6CYmpKbEREiGHdLLjupTcg
2022-02-26 18:50:59.1285, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:50:52 PM, 2022-02-26 6:50:58 PM, 134.41.0.42:61761
2022-02-26 18:51:03.6699, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:51:01 PM, 2022-02-26 6:51:03 PM, 108.63.217.4:54805
2022-02-26 18:51:05.6881, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:51:03 PM, 2022-02-26 6:51:04 PM, 134.41.0.42:61761
2022-02-26 18:51:08.2305, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:51:06 PM, 2022-02-26 6:51:07 PM, 108.63.217.4:54805
2022-02-26 18:51:08.7325, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 141.500 FM. 2022-02-26 6:51:07 PM, 2022-02-26 6:51:07 PM, 75.33.150.12:63421
2022-02-26 18:51:14.8065, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 141.500 FM. 2022-02-26 6:51:12 PM, 2022-02-26 6:51:14 PM, 75.33.150.12:63421
2022-02-26 18:51:16.3225, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:51:08 PM, 2022-02-26 6:51:15 PM, 134.41.0.42:61761
2022-02-26 18:51:17.3290, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:51:16 PM, 2022-02-26 6:51:16 PM, 108.63.217.4:54805
2022-02-26 18:51:24.4369, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 141.500 FM. 2022-02-26 6:51:17 PM, 2022-02-26 6:51:23 PM, 75.33.150.12:63421
2022-02-26 18:51:25.4455, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:51:21 PM, 2022-02-26 6:51:24 PM, 108.63.217.4:54805
2022-02-26 18:51:27.9725, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 141.500 FM. 2022-02-26 6:51:25 PM, 2022-02-26 6:51:27 PM, 75.33.150.12:63421
2022-02-26 18:51:29.9965, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:51:28 PM, 2022-02-26 6:51:29 PM, 108.63.217.4:54805
2022-02-26 18:51:45.1603, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 141.500 FM. 2022-02-26 6:51:30 PM, 2022-02-26 6:51:44 PM, 75.33.150.12:63421
2022-02-26 18:51:51.7455, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 141.500 FM. 2022-02-26 6:51:45 PM, 2022-02-26 6:51:50 PM, 108.63.217.4:54805
2022-02-26 18:51:56.3085, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:51:54 PM, 2022-02-26 6:51:55 PM, 75.33.150.12:63421
2022-02-26 18:51:58.3285, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:51:56 PM, 2022-02-26 6:51:57 PM, 75.33.150.12:63421
2022-02-26 18:52:20.1001, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:52:12 PM, 2022-02-26 6:52:19 PM, 108.63.217.4:54805
2022-02-26 18:52:22.6308, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:52:20 PM, 2022-02-26 6:52:22 PM, 75.33.150.12:63421
2022-02-26 18:55:14.2255, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:55:12 PM, 2022-02-26 6:55:13 PM, 108.63.217.4:54805
2022-02-26 18:55:20.8105, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:55:18 PM, 2022-02-26 6:55:20 PM, 75.33.150.12:63421
2022-02-26 18:55:24.3518, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:55:21 PM, 2022-02-26 6:55:23 PM, 108.63.217.4:54805
2022-02-26 18:55:33.9585, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:55:31 PM, 2022-02-26 6:55:33 PM, 108.63.217.4:54805
2022-02-26 18:55:58.2045, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:55:54 PM, 2022-02-26 6:55:57 PM, 75.33.150.12:63421
2022-02-26 18:56:02.2538, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:55:59 PM, 2022-02-26 6:56:01 PM, 108.63.217.4:54805
2022-02-26 18:57:05.9398, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:57:03 PM, 2022-02-26 6:57:05 PM, 108.63.217.4:54805
2022-02-26 18:57:10.9745, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:57:06 PM, 2022-02-26 6:57:10 PM, 108.63.217.4:54805
2022-02-26 18:57:17.5612, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:57:10 PM, 2022-02-26 6:57:17 PM, 75.33.150.12:63421
2022-02-26 18:57:20.1015, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:57:18 PM, 2022-02-26 6:57:19 PM, 108.63.217.4:54805
2022-02-26 18:57:25.1558, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:57:20 PM, 2022-02-26 6:57:24 PM, 75.33.150.12:63421
2022-02-26 18:57:33.2459, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:57:27 PM, 2022-02-26 6:57:32 PM, 108.63.217.4:54805
2022-02-26 18:57:33.2459, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:57:30 PM, 2022-02-26 6:57:32 PM, 75.33.150.12:63421
2022-02-26 18:57:56.0045, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:57:51 PM, 2022-02-26 6:57:55 PM, 75.33.150.12:63421
2022-02-26 18:58:24.8260, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:58:20 PM, 2022-02-26 6:58:24 PM, 108.63.217.4:54805
2022-02-26 18:58:27.8658, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:58:26 PM, 2022-02-26 6:58:26 PM, 75.33.150.12:63421
2022-02-26 18:59:02.3695, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:58:59 PM, 2022-02-26 6:59:01 PM, 108.63.217.4:54805
2022-02-26 18:59:10.9695, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:59:07 PM, 2022-02-26 6:59:10 PM, 75.33.150.12:63421
2022-02-26 18:59:17.0414, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:59:15 PM, 2022-02-26 6:59:16 PM, 108.63.217.4:54805
2022-02-26 19:00:50.6155, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 7:00:49 PM, 2022-02-26 7:00:49 PM, 75.33.150.12:63421
2022-02-26 19:00:53.6925, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 7:00:48 PM, 2022-02-26 7:00:53 PM, 108.63.217.4:54805
2022-02-26 19:00:55.2062, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 7:00:53 PM, 2022-02-26 7:00:54 PM, 75.33.150.12:63421
2022-02-26 19:01:41.3485, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 7:01:39 PM, 2022-02-26 7:01:40 PM, 108.63.217.4:54805
2022-02-26 19:02:53.2655, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 7:02:49 PM, 2022-02-26 7:02:52 PM, 75.33.150.12:63421
2022-02-26 19:02:55.7925, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 7:02:53 PM, 2022-02-26 7:02:55 PM, 108.63.217.4:54805
2022-02-26 19:03:26.6375, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 7:03:23 PM, 2022-02-26 7:03:25 PM, 108.63.217.4:54805
